date,close
2022-01-03,2456.8
2022-01-04,2431.6
2022-01-05,2479.9
2022-01-06,2531.1
2022-01-07,2512.0
2022-01-10,2526.8
2022-01-11,2522.6
2022-01-12,2527.5
2022-01-13,2523.4
2022-01-14,2487.5
2022-01-17,2409.2
2022-01-18,2427.1
2022-01-19,2441.2
2022-01-20,2432.5
2022-01-21,2448.9
2022-01-24,2483.9
2022-01-25,2502.8
2022-01-26,2541.7
2022-01-27,2476.0
2022-01-28,2490.0
2022-01-31,2473.5
2022-02-01,2520.0
2022-02-02,2486.5
2022-02-03,2485.5
2022-02-04,2450.4
2022-02-07,2463.3
2022-02-08,2461.7
2022-02-09,2460.6
2022-02-10,2439.5
2022-02-11,2476.0
2022-02-14,2437.6
2022-02-15,2433.5
2022-02-16,2426.4
2022-02-17,2408.6
2022-02-18,2421.6
2022-02-21,2450.4
2022-02-22,2449.0
2022-02-23,2440.7
2022-02-24,2461.2
2022-02-25,2551.6
2022-02-28,2549.3
2022-03-01,2604.2
2022-03-02,2618.4
2022-03-03,2613.8
2022-03-04,2644.2
2022-03-07,2648.9
2022-03-08,2638.3
2022-03-09,2645.9
2022-03-10,2631.5
2022-03-11,2594.4
2022-03-14,2584.3
2022-03-15,2633.1
2022-03-16,2651.2
2022-03-17,2705.6
2022-03-18,2760.6
2022-03-21,2785.8
2022-03-22,2850.5
2022-03-23,2863.0
2022-03-24,2822.2
2022-03-25,2830.4
2022-03-28,2785.3
2022-03-29,2805.8
2022-03-30,2737.9
2022-03-31,2746.3
2022-04-01,2759.8
2022-04-04,2745.1
2022-04-05,2695.8
2022-04-06,2648.7
2022-04-07,2682.9
2022-04-08,2704.6
2022-04-11,2676.0
2022-04-12,2756.4
2022-04-13,2744.8
2022-04-14,2746.3
2022-04-15,2774.4
2022-04-18,2774.4
2022-04-19,2771.1
2022-04-20,2814.4
2022-04-21,2816.5
2022-04-22,2856.1
2022-04-25,2936.1
2022-04-26,2905.1
2022-04-27,2925.8
2022-04-28,2859.8
2022-04-29,2840.2
2022-05-02,2892.0
2022-05-03,2891.8
2022-05-04,2898.4
2022-05-05,2892.9
2022-05-06,2868.3
2022-05-09,2888.8
2022-05-10,2900.8
2022-05-11,2896.9
2022-05-12,2914.7
2022-05-13,2969.0
2022-05-16,2981.2
2022-05-17,2967.2
2022-05-18,2956.9
2022-05-19,2944.1
2022-05-20,2983.8
2022-05-23,3005.6
2022-05-24,3075.8
2022-05-25,3082.4
2022-05-26,3109.0
2022-05-27,3034.4
2022-05-30,3089.7
2022-05-31,3090.1
2022-06-01,3092.2
2022-06-02,3049.9
2022-06-03,3048.9
2022-06-06,3101.1
2022-06-07,3123.4
2022-06-08,3079.6
2022-06-09,3017.4
2022-06-10,3017.2
2022-06-13,2997.3
2022-06-14,3014.0
2022-06-15,2995.8
2022-06-16,3017.7
2022-06-17,3074.0
2022-06-20,3048.1
2022-06-21,3032.4
2022-06-22,3034.6
2022-06-23,3116.6
2022-06-24,3124.5
2022-06-27,3099.9
2022-06-28,3139.0
2022-06-29,3100.8
2022-06-30,3114.9
2022-07-01,3109.0
2022-07-04,3074.6
2022-07-05,3089.3
2022-07-06,3068.0
2022-07-07,3047.8
2022-07-08,3122.9
2022-07-11,3141.7
2022-07-12,3067.9
2022-07-13,3070.5
2022-07-14,3015.3
2022-07-15,3010.4
2022-07-18,2981.0
2022-07-19,2992.7
2022-07-20,3028.6
2022-07-21,3012.6
2022-07-22,2973.2
2022-07-25,3022.2
2022-07-26,3072.8
2022-07-27,2999.2
2022-07-28,3035.8
2022-07-29,3093.7
2022-08-01,3074.3
2022-08-02,3043.4
2022-08-03,2973.8
2022-08-04,2869.4
2022-08-05,2839.2
2022-08-08,2824.8
2022-08-09,2781.2
2022-08-10,2766.5
2022-08-11,2777.3
2022-08-12,2820.2
2022-08-15,2798.8
2022-08-16,2855.2
2022-08-17,2844.6
2022-08-18,2846.7
2022-08-19,2792.3
2022-08-22,2761.5
2022-08-23,2755.2
2022-08-24,2664.9
2022-08-25,2648.6
2022-08-26,2663.5
2022-08-29,2677.7
2022-08-30,2660.0
2022-08-31,2664.5
2022-09-01,2637.7
2022-09-02,2552.3
2022-09-05,2514.1
2022-09-06,2503.9
2022-09-07,2516.8
2022-09-08,2453.0
2022-09-09,2494.9
2022-09-12,2454.6
2022-09-13,2457.5
2022-09-14,2447.2
2022-09-15,2462.5
2022-09-16,2479.1
2022-09-19,2509.8
2022-09-20,2545.8
2022-09-21,2571.3
2022-09-22,2554.9
2022-09-23,2556.3
2022-09-26,2561.4
2022-09-27,2570.7
2022-09-28,2513.5
2022-09-29,2490.2
2022-09-30,2513.3
2022-10-03,2467.1
2022-10-04,2464.9
2022-10-05,2395.0
2022-10-06,2405.2
2022-10-07,2400.9
2022-10-10,2413.9
2022-10-11,2412.1
2022-10-12,2420.2
2022-10-13,2429.1
2022-10-14,2375.3
2022-10-17,2351.4
2022-10-18,2367.2
2022-10-19,2353.4
2022-10-20,2360.8
2022-10-21,2361.9
2022-10-24,2372.4
2022-10-25,2360.2
2022-10-26,2335.8
2022-10-27,2325.0
2022-10-28,2314.7
2022-10-31,2245.6
2022-11-01,2214.7
2022-11-02,2174.3
2022-11-03,2115.3
2022-11-04,2122.0
2022-11-07,2148.2
2022-11-08,2139.8
2022-11-09,2133.8
2022-11-10,2066.8
2022-11-11,2018.1
2022-11-14,2012.0
2022-11-15,2007.5
2022-11-16,1982.6
2022-11-17,1961.5
2022-11-18,1953.2
2022-11-21,1956.0
2022-11-22,1951.7
2022-11-23,1913.3
2022-11-24,1871.0
2022-11-25,1879.5
2022-11-28,1867.0
2022-11-29,1838.5
2022-11-30,1846.2
2022-12-01,1845.5
2022-12-02,1823.6
2022-12-05,1811.0
2022-12-06,1820.8
2022-12-07,1767.2
2022-12-08,1772.5
2022-12-09,1798.4
2022-12-12,1824.9
2022-12-13,1824.0
2022-12-14,1863.5
2022-12-15,1846.0
2022-12-16,1854.4
2022-12-19,1854.5
2022-12-20,1845.7
2022-12-21,1829.5
2022-12-22,1828.5
2022-12-23,1807.4
2022-12-26,1829.5
2022-12-27,1778.6
2022-12-28,1792.4
2022-12-29,1791.7
2022-12-30,1789.0
2023-01-02,1821.9
2023-01-03,1826.2
2023-01-04,1806.7
2023-01-05,1789.7
2023-01-06,1784.9
2023-01-09,1788.3
2023-01-10,1752.8
2023-01-11,1712.4
2023-01-12,1745.4
2023-01-13,1722.1
2023-01-16,1728.9
2023-01-17,1753.0
2023-01-18,1762.5
2023-01-19,1783.6
2023-01-20,1761.5
2023-01-23,1739.2
2023-01-24,1735.4
2023-01-25,1745.6
2023-01-26,1730.5
2023-01-27,1703.8
2023-01-30,1739.2
2023-01-31,1770.2
2023-02-01,1775.4
2023-02-02,1770.7
2023-02-03,1768.3
2023-02-06,1772.5
2023-02-07,1783.3
2023-02-08,1796.6
2023-02-09,1781.4
2023-02-10,1830.0
2023-02-13,1839.6
2023-02-14,1848.3
2023-02-15,1832.8
2023-02-16,1853.6
2023-02-17,1839.2
2023-02-20,1838.4
2023-02-21,1844.3
2023-02-22,1846.3
2023-02-23,1861.8
2023-02-24,1909.2
2023-02-27,1917.0
2023-02-28,1932.8
2023-03-01,1910.4
2023-03-02,1928.1
2023-03-03,1937.5
2023-03-06,1895.1
2023-03-07,1875.0
2023-03-08,1862.8
2023-03-09,1850.9
2023-03-10,1837.7
2023-03-13,1848.8
2023-03-14,1851.8
2023-03-15,1871.0
2023-03-16,1901.9
2023-03-17,1913.3
2023-03-20,1863.3
2023-03-21,1911.8
2023-03-22,1909.6
2023-03-23,1908.0
2023-03-24,1926.6
2023-03-27,1897.4
2023-03-28,1974.3
2023-03-29,2002.7
2023-03-30,2047.9
2023-03-31,2063.6
2023-04-03,2092.9
2023-04-04,2085.7
2023-04-05,2110.7
2023-04-06,2123.1
2023-04-07,2105.9
2023-04-10,2102.5
2023-04-11,2109.2
2023-04-12,2126.4
2023-04-13,2144.5
2023-04-14,2141.4
2023-04-17,2175.1
2023-04-18,2194.5
2023-04-19,2215.3
2023-04-20,2211.8
2023-04-21,2235.6
2023-04-24,2276.7
2023-04-25,2237.2
2023-04-26,2268.2
2023-04-27,2365.6
2023-04-28,2294.9
2023-05-01,2265.1
2023-05-02,2245.6
2023-05-03,2263.0
2023-05-04,2284.0
2023-05-05,2242.9
2023-05-08,2252.9
2023-05-09,2268.8
2023-05-10,2342.5
2023-05-11,2350.1
2023-05-12,2389.5
2023-05-15,2386.6
2023-05-16,2436.5
2023-05-17,2419.3
2023-05-18,2404.6
2023-05-19,2434.2
2023-05-22,2430.4
2023-05-23,2411.2
2023-05-24,2372.8
2023-05-25,2313.9
2023-05-26,2328.3
2023-05-29,2317.9
